AÑO,CONVOCATORIA,PLAN,NOM-PLAN,ASIG,NOM-ASIG,CALIFIC,DEPTO,NOM-DEPTO,TOTAL-CALIF,GRUPO_ASSIG,PROFESOR,USOVIDEOS
2009-10,ENE,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Aprobado                 ,Z029    ,Automática                                                                 ,22,0,1,0
2009-10,ENE,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,No Presentado            ,Z029    ,Automática                                                                 ,23,0,1,0
2009-10,ENE,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Notable                  ,Z029    ,Automática                                                                 ,8,0,1,0
2009-10,ENE,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Suspenso                 ,Z029    ,Automática                                                                 ,10,0,1,0
2009-10,JUN,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Aprobado                 ,Z029    ,Automática                                                                 ,1,0,1,0
2009-10,JUN,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,No Presentado            ,Z029    ,Automática                                                                 ,22,0,1,0
2009-10,JUN,G58 ,GRADO EN SISTEMAS DE INFORMACIÓN                                           ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Suspenso                 ,Z029    ,Automática                                                                 ,9,0,1,0
2009-10,ENE,G780,GRADO EN INGENIERÍA INFORMÁTICA                                            ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Aprobado                 ,Z029    ,Automática                                                                 ,32,0,12,0
2009-10,ENE,G780,GRADO EN INGENIERÍA INFORMÁTICA                                            ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Matríc. Honor            ,Z029    ,Automática                                                                 ,4,0,12,0
2009-10,ENE,G780,GRADO EN INGENIERÍA INFORMÁTICA                                            ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,No Presentado            ,Z029    ,Automática                                                                 ,32,0,12,0
2009-10,ENE,G780,GRADO EN INGENIERÍA INFORMÁTICA                                            ,780002,FUNDAMENTOS DE TECNOLOGÍA DE COMPUTADORES                                                           ,Notable                  ,Z029    ,Automática                                                                 ,41,0,12,0
